Title,Date,Rating,Review
Waves and wind,2024-06-04,3,玩沙、吃海鮮、吹海風，來高雄不來旗津就白來了。
Urban creativity unleashed,2024-08-05,4,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Serenity in the city,2024-06-14,4,風輕輕吹，湖面波光粼粼，真的很想在這邊發呆一整天。
Waves and wind,2025-03-15,3,玩沙、吃海鮮、吹海風，來高雄不來旗津就白來了。
A feast for the senses,2025-02-03,4,蚵仔煎、木瓜牛奶、香腸、炸雞…肚子抗議但嘴巴停不下來。
Rails through time,2025-04-02,1,一邊聽火車聲，一邊喝手搖杯，有種莫名的療癒感。
Modern art marvel,2024-07-03,4,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Urban creativity unleashed,2024-06-08,2,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Golden hour perfection,2025-04-16,4,夕陽緩緩落入海平線，連空氣都帶著金色。
Light beneath the city,2024-12-23,2,一走進來彷彿進入了玻璃彩繪的時光隧道。
Rails through time,2024-08-21,5,一邊聽火車聲，一邊喝手搖杯，有種莫名的療癒感。
Modern art marvel,2024-09-15,2,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Rails through time,2024-12-21,3,一邊聽火車聲，一邊喝手搖杯，有種莫名的療癒感。
Serenity in the city,2024-10-31,5,風輕輕吹，湖面波光粼粼，真的很想在這邊發呆一整天。
Music by the harbor,2025-02-04,3,建築外觀像艘太空船，裡面卻充滿搖滾與靈魂。
Rails through time,2024-08-03,1,一邊聽火車聲，一邊喝手搖杯，有種莫名的療癒感。
A feast for the senses,2025-04-11,5,蚵仔煎、木瓜牛奶、香腸、炸雞…肚子抗議但嘴巴停不下來。
Modern art marvel,2025-04-09,4,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Urban creativity unleashed,2025-02-20,5,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Light beneath the city,2024-08-08,3,一走進來彷彿進入了玻璃彩繪的時光隧道。
